trace,run,timestamp_s,gpu_device_util_percent,gpu_in_use_sys_mem_mb
native_mb_02min,5,54.423972000000006,51.0,261.203125
native_mb_02min,5,55.431097,50.0,261.1875
native_mb_02min,5,56.442578000000005,51.0,261.1875
native_mb_02min,5,57.449758,63.0,261.40625
native_mb_02min,5,58.459375,59.0,261.6875
native_mb_02min,5,59.468340000000005,61.0,261.390625
native_mb_02min,5,60.479837,53.0,261.390625
native_mb_02min,5,61.488041,53.0,261.1875
native_mb_02min,5,62.498923000000005,52.0,261.203125
native_mb_02min,5,63.50641400000001,52.0,261.1875
native_mb_02min,5,64.51284700000001,53.0,261.203125
native_mb_02min,5,65.520166,53.0,261.4375
native_mb_02min,5,66.525344,52.0,261.203125
native_mb_02min,5,67.53326200000001,53.0,261.1875
